,name,juristicid,year,accountreceivable,accountpayable,totalnoncurrentliability,totalliability,totalcurrentliability,totalcurrentasset,totalasset,totalexpense,cashandcashequivalent,otherincome,totalrevenue,netprofitloss,pct_accountreceivable,pct_accountpayable,pct_totalnoncurrentliability,pct_totalliability,pct_totalcurrentliability,pct_totalcurrentasset,pct_totalasset,pct_totalexpense,pct_cashandcashequivalent,pct_otherincome,pct_totalrevenue,pct_netprofitloss
144,บมจ.กรุงเทพดุสิตเวชการ จำกัด (มหาชน),107537000025,2016-12-31,985999200,1004282000,26717450000,44269610000,17552150000,6054512000,73820200000,12238620000,2762362000,7166130000,20496280000,6935438000,-32.92787087312201,-58.84034497187871,-4.090334563549625,6.400962351945849,27.656549215208393,-7.5053503797933185,4.135370536541161,4.412167436622605,-23.631406435574586,55.52925105755151,15.75731733145076,55.74813557563547
145,บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน),107537000025,2018-12-31,1501254000,2995060000,25987750000,55131140000,29143390000,6528359000,92929770000,13156690000,2295456000,7089269000,21395090000,6630377000,52.257121506792295,198.22898349268434,-2.731173820854904,24.534957502449206,66.03886133607564,7.826345046471128,25.88664078395886,7.501417643492481,-16.902419016768977,-1.0725593870052563,4.385234784068137,-4.39858304551205
146,บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน),107537000025,2019-12-31,2075116000,2914679000,21342870000,42012930000,20670050000,7576736000,94250570000,13857580000,2467290000,19208410000,34050460000,16566200000,38.22551014018947,-2.683785967559915,-17.87334417177324,-23.794556034937784,-29.074654664402455,16.058813554830543,1.4212883557120692,5.327251763171437,7.48583288026432,170.95050279514007,59.15081450931032,149.85306265390338
147,บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน),107537000025,2020-12-31,4294282000,1564936000,24049120000,38542870000,14493750000,21727730000,97055770000,10540920000,17332840000,13608870000,23612720000,11084740000,106.94178060407226,-46.30846141204572,12.679878573031655,-8.259504871476475,-29.880430864947105,186.768999210214,2.976321522511749,-23.93390476547853,602.5051777456238,-29.15150186819211,-30.653741535356648,-33.08821576462918
148,บมจ.บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน),107537000025,2021-12-31,1645861000,1755115000,16300660000,36326070000,24072210000,12419080000,87758950000,11036210000,7467193000,6691074000,17227670000,5510552000,-61.67319705599213,12.152509751197481,-32.219307816668554,-5.751517725587119,66.08683053040103,-42.84225733659246,-9.578843174393448,4.6987359737100665,-56.91881422778956,-50.83299348145731,-27.040722119264537,-50.28704326849345
149,บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน),107537000025,2022-12-31,1538508000,2144950000,14239900000,37503900000,23264010000,8428756000,88970150000,13703920000,4095282000,7362993000,21795370000,7170064000,-6.522604278247068,22.2113650672463,-12.642187494248702,3.242382123912657,-3.3573984274813173,-32.130592604283095,1.3801441334473585,24.172338148694173,-45.15633920269638,10.042020159992248,26.513742136922748,30.11516813560602
151,บมจ.ปูนซิเมนต์ไทย จำกัด (มหาชน),107537000114,2013-12-31,0,0,128438800000,157488400000,29049610000,109449100000,236254500000,2297025000,1725673000,1856954000,30468260000,24439590000,,,,,,,,,,,,
152,บมจ.ปูนซิเมนต์ไทย จำกัด (มหาชน),107537000114,2014-12-31,0,0,128597300000,161551100000,32953780000,123285300000,248113100000,2488657000,6543121000,671461000,28964690000,24230220000,,,0.1234050769705064,2.5796820591230896,13.439664078106395,12.641675445481049,5.019417619558575,8.342617080789271,279.1634336285032,-63.84073057275516,-4.93487320903786,-0.8566837659715221
153,บมจ.ปูนซิเมนต์ไทย จำกัด (มหาชน),107537000114,2015-12-31,2491699000,2247269000,118646000000,175354300000,56708240000,138108600000,264282400000,2724950000,4794733000,2771507000,26543200000,19824660000,inf,inf,-7.738342873450687,8.544169615681962,72.08417365170247,12.023574586751229,6.516907007328521,9.494799805678333,-26.721009744432354,312.7577029790263,-8.360144714132966,-18.182088317811395
154,บมจ.ปูนซิเมนต์ไทย จำกัด (มหาชน),107537000114,2016-12-31,2316728000,1969889000,123695900000,177701100000,54005120000,134401600000,271633100000,3539531000,15893800000,2120770000,31546340000,25226370000,-7.0221563680043175,-12.342981636822293,4.256274969236218,1.3383190489198116,-4.766714678501749,-2.6841195986346933,2.781380825964952,29.893429237233704,231.4845685880736,-23.479536584248205,18.849046083365995,27.247428203056188
